"unisun","unisunNum"
"YouTube-YouTube-end",2
"YouTube-end",22
"com.plexapp.plex-end",3
"com.plexapp.plex-Gmail-com.plexapp.plex-com.plexapp.plex-end",1
"Camera-BBC News-BBC News-end",1
"Twitter-Gmail-end",3
"Gmail-Twitter-Calendar-end",1
"AppTracker-AppTracker-end",3
"Research App 6-Research App 6-Research App 6-end",6
"Research App 6-Research App 6-end",18
"Research App 6-end",230
"SnapChat-end",2
"Research App 4-Research App 6-end",2
"Research App 6-Twitter-end",1
"Facebook-Gmail-Facebook-Guardian-end",1
"Gmail-iPlayer Radio-end",2
"iPlayer-iPlayer-iPlayer Radio-end",1
"Gmail-AppTracker-World Soccer Finals-end",1
"Gmail-Phone-Facebook-end",1
"Gmail-Facebook-BBC News-Gmail-end",2
"Gmail-Safari-end",5
"Gmail-Safari-Gmail-Research App 6-end",1
"World Soccer Finals-Research App 6-Research App 6-end",1
"Gmail-Research App 6-Research App 6-Research App 6-end",2
"Gmail-Research App 6-Gmail-end",6
"Research App 6-Fruit Ninja-Research App 6-end",1
"Research App 6-SMS-Phone-Gmail-end",1
"CBeebies-Fruit Ninja-Fruit Ninja-Fruit Ninja-end",1
"Gmail-Research App 6-end",38
"Gmail-Facebook-Guardian-Gmail-end",1
"Research App 6-Research App 6-Research App 6-World Soccer Finals-end",1
"Research App 6-Facebook-Guardian-YouTube-end",1
"FIFA-Research App 6-Gmail-Gmail-end",1
"Research App 6-Research App 6-Research App 6-Research App 6-end",1
"Gmail-Phone-end",5
"Gmail-Gmail-Safari-Research App 6-end",3
"BBC News-Twitter-Facebook-Guardian-end",1
"Research App 6-Facebook-Guardian-end",1
"FIFA-Settings-Garage Band-Appstore-end",1
"Research App 6-Settings-end",1
"Research App 6-Research App 6-Gmail-end",3
"Settings-Gmail-Safari-Research App 6-end",1
"Research App 6-Gmail-end",18
"Gmail-Facebook-Research App 6-end",3
"Research App 6-Gmail-Research App 6-end",1
"Research App 1-Research App 1-Doodlejump-Research App 6-end",1
"Gmail-Research App 6-Gmail-BBC News-end",2
"Research App 6-Research App 6-Settings-end",1
"Gmail-Facebook-Safari-Safari-end",1
"Research App 3-end",2
"FIFA-end",22
"Research App 6-Gmail-Safari-Research App 6-end",1
"Research App 6-Gmail-Research App 6-Gmail-end",1
"Facebook-Gmail-Research App 6-end",2
"Facebook-Google Maps-Gmail-end",2
"Gmail-iPlayer-end",1
"Settings-iPlayer-end",1
"iPlayer-Research App 6-Research App 6-end",1
"Research App 6-SMS-end",2
"SMS-Guardian-Facebook-SMS-end",1
"Gmail-iPlayer-iPlayer-end",1
"Gmail-BBC News-Gmail-Gmail-end",1
"Safari-Doodlejump-end",1
"iPlayer Radio-SMS-end",1
"Phone-SMS-iPlayer Radio-end",1
"Camera-Camera-end",7
"SMS-Camera-Gmail-end",1
"Camera-Fruit Ninja-CBeebies-end",1
"YouTube-SMS-end",1
"YouTube-Camera-YouTube-end",1
"Gmail-Safari-Research App 6-end",2
"Camera-Research App 6-end",1
"Gmail-Phone-Research App 6-end",1
"Gmail-Research App 6-Gmail-Safari-end",1
"Research App 6-Gmail-Facebook-Gmail-end",2
"Gmail-Research App 6-SMS-Research App 6-end",2
"SMS-Research App 6-end",9
"Gmail-FIFA-end",6
"Camera-Gmail-end",3
"FIFA-Gmail-Facebook-Camera-end",1
"Facebook-Research App 6-Gmail-end",1
"Facebook-FIFA-end",1
"Gmail-Research App 6-Facebook-Facebook-end",1
"SMS-Research App 6-SMS-end",1
"Safari-Research App 6-Gmail-end",1
"Guardian-Facebook-end",1
"FIFA-Research App 6-SMS-end",1
"FIFA-Research App 6-end",5
"Facebook-Research App 6-end",4
"Gmail-FIFA-Research App 6-end",1
"Research App 6-Gmail-Facebook-end",2
"Gmail-Gmail-Guardian-end",2
"Gmail-Facebook-Safari-end",4
"Camera-Research App 6-Research App 6-Gmail-end",1
"Research App 6-Camera-end",2
"Gmail-Research App 6-Research App 6-Gmail-end",2
"Gmail-Research App 6-Gmail-Research App 6-end",1
"Gmail-Research App 6-Camera-Research App 6-end",1
"Research App 6-Safari-Research App 6-Research App 6-end",1
"Research App 6-Safari-end",1
"Research App 6-National Rail-Research App 6-end",1
"SMS-Research App 6-Camera-Research App 6-end",1
"Research App 6-Research App 6-Camera-Camera-end",1
"Research App 6-Photos-end",1
"Research App 6-Gmail-Twitter-end",2
"Google Maps-Safari-Google Maps-Google Maps-end",1
"Google Maps-Safari-end",1
"Research App 6-Gmail-Research App 6-Facebook-end",3
"Research App 6-Gmail-Gmail-end",2
"Research App 6-Gmail-Twitter-FIFA-end",1
"Gmail-Gmail-Research App 6-Gmail-end",1
"SMS-Research App 6-Phone-Research App 6-end",1
"SMS-Phone-Gmail-end",1
"Gmail-Safari-Research App 6-Research App 6-end",1
"FIFA-Gmail-end",2
"Gmail-Research App 6-Gmail-Facebook-end",2
"SMS-Gmail-Research App 6-Research App 6-end",1
"com.google.Blogger-end",1
"Research App 6-Facebook-Twitter-Twitter-end",1
"Research App 6-Facebook-end",4
"Twitter-Research App 6-end",2
"Research App 6-Gmail-FIFA-Gmail-end",1
"Gmail-FIFA-Gmail-Research App 6-end",1
"SMS-Phone-end",2
"Phone-Gmail-Gmail-end",1
"FIFA-Research App 6-Gmail-Facebook-end",1
"Facebook-Gmail-Guardian-end",2
"Twitter-BBC News-end",1
"SMS-Facebook-SMS-end",1
"SMS-Gmail-Facebook-Facebook-end",1
"Gmail-Facebook-Gmail-Research App 6-end",1
"SMS-Gmail-Research App 6-end",1
"National Rail-SMS-end",1
"SMS-National Rail-end",2
"Gmail-SMS-Gmail-Research App 6-end",1
"Gmail-Research App 6-Facebook-Research App 6-end",1
"National Rail-Gmail-National Rail-end",1
"FIFA-Guardian-end",2
"Gmail-Facebook-Settings-Facebook-end",1
"Gmail-SMS-Gmail-end",1
"Appstore-Appstore-Settings-end",1
"Monuement Valley-end",6
"FIFA-Gmail-Monuement Valley-end",1
"Gmail-Research App 6-Monuement Valley-end",1
"Gmail-Research App 6-Facebook-end",2
"Monuement Valley-Monuement Valley-Facebook-Twitter-end",1
"Facebook-FIFA-Monuement Valley-end",1
"FIFA-Facebook-end",2
"Facebook-Camera-end",2
"Facebook-Research App 6-Gmail-Facebook-end",1
"SMS-Facebook-end",4
"Gmail-Research App 6-Guardian-Guardian-end",1
"SMS-SMS-Monuement Valley-SMS-end",1
"SMS-Research App 6-Monuement Valley-end",1
"Appstore-FIFA-end",1
"SMS-Gmail-SMS-Facebook-end",1
"Facebook-Twitter-FIFA-end",1
"National Rail-Research App 6-National Rail-end",1
"Appstore-Facebook-end",1
"National Rail-SMS-National Rail-end",1
"Monuement Valley-Settings-end",1
"Gmail-SnapChat-Facebook-Facebook-end",1
"Gmail-Research App 6-Appstore-end",1
"Camera-Gmail-Camera-Settings-Gmail-end",1
"Gmail-Gmail-Research App 6-Facebook-end",2
"Gmail-Facebook-Research App 5-end",1
"Gmail-Research App 6-Gmail-FIFA-end",1
"Camera-Research App 6-Gmail-end",1
